State Name            Population     Area     Density
--------------------  ----------     -------  --------
Alabama                4,447,100      50,750     87.62
Alaska                   626,932     570,374      1.09
Arizona                5,130,632     113,642     45.14
Arkansas               2,673,400      52,075     51.33
California            33,871,648     155,973    217.16
Colorado               4,301,261     103,729     41.46
Connecticut            3,405,565       4,845    702.90
Delaware                 783,600       1,955    400.81
District of Columbia     572,059          61  9,378.01
Florida               15,982,378      53,937    296.31
Georgia                8,186,453      57,919    141.34
Hawaii                 1,211,537       6,423    188.62
Idaho                  1,293,953      82,751     15.63
Illinois              12,419,293      55,593    223.39
Indiana                6,080,485      35,870    169.51
Iowa                   2,926,324      55,875     52.37
Kansas                 2,688,418      81,823     32.85
Kentucky               4,041,769      39,732    101.72
Louisiana              4,468,976      43,566    102.57
Maine                  1,274,923      30,865     41.30
Maryland               5,296,486       9,775    541.84
Massachusetts          6,349,097       7,838    810.04
Michigan               9,938,444      56,809    174.94
Minnesota              4,919,479      79,617     61.78
Mississippi            2,844,658      46,914     60.63
Missouri               5,595,211      68,898     81.21
Montana                  902,195     145,556      6.19
Nebraska               1,711,263      76,878     22.25
Nevada                 1,998,257     109,806     18.19
New Hampshire          1,235,786       8,969    137.78
New Jersey             8,414,350       7,419  1,134.16
New Mexico             1,819,046     121,364     14.98
New York              18,976,457      47,224    401.83
North Carolina         8,049,313      48,718    165.22
North Dakota             642,200      68,994      9.30
Ohio                  11,353,140      40,953    277.22
Oklahoma               3,450,654      68,679     50.24
Oregon                 3,421,399      96,002     35.63
Pennsylvania          12,281,054      44,820    274.00
Rhode Island           1,048,319       1,045  1,003.17
South Carolina         4,012,012      30,111    133.24
South Dakota             754,844      75,896      9.94
Tennessee              5,689,283      41,219    138.02
Texas                 20,851,820     261,914     79.61
Utah                   2,233,169      82,168     27.17
Vermont                  608,827       9,249     65.82
Virginia               7,078,515      39,598    178.75
Washington             5,894,121      66,581     88.52
West Virginia          1,808,344      24,807     72.89
Wisconsin              5,363,675      54,314     98.75
Wyoming                  493,782      97,105      5.08
--------------------  ----------     -------  --------
51 states            281,421,906   3,536,998     79.56
